execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,total_pais_cruzamento,tipo_selecao_pais,total_pais_torneio,tipo_cruzamento,taxa_cruzamento,tipo_mutacao,taxa_mutacao,elitismo,best_ind,best_fitness,out_bounds
10,f4,30,50,170,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-82.33203716519795 -0.9290261615314535 -47.657189878250584
 -12.776348932233134 28.865323008283383 -50.813586409076564
 39.2616543617994 16.211581426980985 27.398800593762857
 -45.186482127305695 -83.61709153963028 3.757357642547916
 76.09240035270989 -30.14088134051181 40.83728482816676 54.063582476993815
 -49.725173158588134 12.638136898549007 -12.776348932233134
 -34.838137239210425 -50.813586409076564 39.2616543617994
 16.211581426980985 27.398800593762857 -71.89282745696006
 -83.61709153963028 3.757357642547916 9.51951696329158 36.47142939347799
 -60.90821014173591]",0.0002893460273049,0
11,f4,30,50,244,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[4.668540296163599 13.657933785453253 -72.70309734889125
 -44.06135276075362 28.583854367335846 -51.8014096255279
 22.827104946596904 99.45865931543841 -8.394986949481748 8.31395849068069
 -44.17144633936685 4.178192571070667 85.13501375289917 13.108561573719754
 -64.98330687652455 4.668540296163599 13.657933785453253 78.03996344847943
 -44.06135276075362 -76.18940709376423 -51.8014096255279
 22.827104946596904 99.45865931543841 89.0954586349431 8.31395849068069
 -44.17144633936685 4.178192571070667 -40.225625762197794
 13.108561573719754 -64.98330687652455]",6.0821190673321925e-05,0
12,f4,30,50,294,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-15.189510689800258 -27.967134464864074 -51.64395285718746
 -15.102972224489434 32.99175266661513 28.331100267144308
 -16.85590023960819 81.94013354402199 59.58353460729501
 -38.804881038371896 -11.285352705327682 -56.17357671861261
 9.85133557817521 45.50520390802555 43.975556427052936 16.91447208003592
 -27.967134464864074 24.26837909871287 -15.102972224489434
 -77.47554419128275 28.331100267144308 -16.85590023960819
 22.021546944118768 59.58353460729501 -38.804881038371896
 -11.285352705327682 98.92189307612296 -71.86305625176158
 45.50520390802555 43.975556427052936]",5.755015707364976e-05,0
13,f4,30,50,115,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-98.25685353924302 -18.93610146037372 -55.03854521824072
 -50.74788967321921 53.480301023734654 -90.89347086907901
 -50.27685385868352 97.8360555506269 13.936777282674683 -56.15196518669941
 -51.785376686760486 63.261985468474336 -34.61624949047042
 24.800766784633893 77.65297592878713 32.09507133811792 -18.93610146037372
 32.16649862964252 -50.74788967321921 53.480301023734654
 -90.89347086907901 -50.27685385868352 97.8360555506269
 -2.3572680030294464 -56.15196518669941 10.14755964719221
 63.261985468474336 -34.61624949047042 24.800766784633893
 -11.44150288248602]",6.068470974896023e-05,0
14,f4,30,50,165,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[70.6717529798768 3.365928817970911 -67.200383517858 -53.237847655040426
 2.767297704110746 -58.27167205074488 81.46549120539416 62.277745636271476
 13.433155358652101 -75.83607971979882 30.518072063322535
 38.04134720715564 49.94936553404062 88.5829997750096 57.96479628647708
 70.6717529798768 3.365928817970911 30.925014673003318 -53.237847655040426
 -22.951296806421055 -58.27167205074488 81.46549120539416
 62.277745636271476 13.433155358652101 -75.83607971979882
 30.518072063322535 38.04134720715564 -55.91065674720983 88.5829997750096
 57.96479628647708]",6.994455297065872e-05,0
15,f4,30,50,105,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-25.442604334422356 -55.92009266527222 18.001092281139734
 -43.05194953291669 -16.605331870422816 -35.8204659110997
 28.57057487229278 -2.8623015009223707 25.721756704702287
 -55.225704552843084 -16.542120893117414 65.17997031331316
 20.621221837314806 28.795064833001362 -56.39037926918429
 -25.442604334422356 7.1352052931578385 18.001092281139734
 -43.05194953291669 -16.605331870422816 -35.8204659110997
 28.57057487229278 -2.8623015009223707 25.721756704702287
 -55.225704552843084 -16.542120893117414 65.17997031331316
 20.621221837314806 28.795064833001362 -56.39037926918429]",6.930145291981222e-05,0
16,f4,30,50,201,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-41.174222929319605 -53.91892244378311 39.50242905069413
 -81.11254245821189 66.45231879241348 15.83831046066932
 -17.029727548705793 55.360072677012454 -9.584282243761947
 -28.63599885640933 -51.62575008341608 25.30869426854052 42.63198528329076
 -31.70688843932963 1.4154541073597073 -41.174222929319605
 -53.91892244378311 39.50242905069413 -81.11254245821189 -33.3424015754979
 15.83831046066932 -17.029727548705793 55.360072677012454
 -9.584282243761947 -28.63599885640933 -51.62575008341608
 25.30869426854052 0.19235171432296738 -31.70688843932963
 1.4154541073597073]",5.015205287695929e-05,0
17,f4,30,50,57,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[17.742928916517386 -38.301366854874594 -55.92883323405995
 43.64835278497287 41.679074512252754 -18.225333841029908
 43.12796343142381 17.56074869513786 -1.3081778277513934
 -52.37951155746465 -26.678113965353816 16.210906168179307
 79.06843535840414 41.6767931965347 8.767376208779027 17.742928916517386
 -38.301366854874594 58.341863619290734 43.64835278497287
 41.679074512252754 -18.225333841029908 43.12796343142381
 17.56074869513786 -1.3081778277513934 -52.37951155746465
 -26.678113965353816 16.210906168179307 79.06843535840414 41.6767931965347
 8.767376208779027]",5.636812580450467e-05,0
18,f4,30,50,107,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-95.83857761530193 7.075152813502356 -41.71140003413907
 -83.09503615320028 -39.00648869927448 -20.34021634515399
 72.58420009130833 70.17248223017086 30.948311332071427 -98.97648828056327
 -78.17426496891058 7.1612400850408875 -49.7466154549711 52.72199030105554
 14.35611480904872 -29.347790978663227 7.075152813502356
 50.197491582128634 -83.09503615320028 -39.00648869927448
 -20.34021634515399 72.58420009130833 70.17248223017086 30.948311332071427
 -98.97648828056327 -78.17426496891058 7.1612400850408875
 -49.7466154549711 52.72199030105554 14.35611480904872]",6.698804218747232e-05,0
19,f4,30,50,57,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-89.64619139684511 -30.30582768398662 -69.82372132077722
 -77.97898956589455 -8.44998158959936 2.9918579729696546
 -2.386477973138085 -29.820661087964638 -29.078821652459098
 -45.157555230112045 -76.5042797339195 -19.247733308898745
 58.7919271481457 -26.92860690660237 19.969784872445317
 -14.526108372379085 -30.30582768398662 33.39010162486841
 -77.97898956589455 -74.56447410202409 2.9918579729696546
 -2.386477973138085 -29.820661087964638 -29.078821652459098
 -45.157555230112045 -76.5042797339195 -19.247733308898745
 55.07284622469578 79.57152934133899 19.969784872445317]",0.000133072357474,0
